idx,INSEE,nom,latitude,longitude,population
1,75100,Paris,48.867 ,2.333 ,2152423
2,13200,Marseille,43.300 ,5.400 ,800550
3,69380,Lyon,45.750 ,4.850 ,415487
4,31555,Toulouse,43.600 ,1.433 ,358688
5,6088,Nice,43.700 ,7.250 ,342439
6,67482,Strasbourg,48.583 ,7.750 ,252338
7,44109,Nantes,47.217 ,-1.550 ,244995
8,33063,Bordeaux,44.833 ,-0.567 ,210336
9,34172,Montpellier,43.600 ,3.883 ,207996
10,42218,Saint-Etienne,45.433 ,4.400 ,199396
11,35238,Rennes,48.083 ,-1.683 ,197536
12,76351,LeHavre,49.500 ,0.133 ,195854
13,51454,Reims,49.250 ,4.033 ,180620
14,59350,Lille,50.633 ,3.067 ,172142
15,83137,Toulon,43.117 ,5.933 ,167619
16,38185,Grenoble,45.167 ,5.717 ,150758
17,29019,Brest,48.400 ,-4.483 ,147956
18,21231,Dijon,47.317 ,5.017 ,146703
19,72181,LeMans,48.000 ,0.200 ,145502
20,49007,Angers,47.467 ,-0.550 ,141404
21,63113,Clermont-Ferrand,45.783 ,3.083 ,136181
22,87085,Limoges,45.850 ,1.250 ,133464
23,80021,Amiens,49.900 ,2.300 ,131872
24,37261,Tours,47.383 ,0.683 ,129509
25,30189,Nimes,43.833 ,4.350 ,128471
26,13001,Aix-en-Provence,43.533 ,5.433 ,123842
27,57463,Metz,49.133 ,6.167 ,119594
28,69266,Villeurbanne,45.767 ,4.883 ,116872
29,25056,Besancon,47.250 ,6.033 ,113828
30,14118,Caen,49.183 ,-0.350 ,112846
31,68224,Mulhouse,47.750 ,7.333 ,108357
32,66136,Perpignan,42.683 ,2.883 ,105983
33,45234,Orleans,47.917 ,1.900 ,105111
34,76540,Rouen,49.433 ,1.083 ,102723
35,92012,Boulogne-Billancourt,48.833 ,2.250 ,101743
36,54395,Nancy,48.683 ,6.200 ,99351
37,59512,Roubaix,50.700 ,3.167 ,97746
38,93048,Montreuil,48.867 ,2.433 ,94754
39,59599,Tourcoing,50.717 ,3.150 ,93765
40,95018,Argenteuil,48.950 ,2.250 ,93096
41,93066,Saint-Denis,48.933 ,2.358 ,89988
42,78646,Versailles,48.800 ,2.133 ,87789
43,84007,Avignon,43.950 ,4.817 ,86939
44,92050,Nanterre,48.900 ,2.200 ,84565
45,94081,Vitry-sur-Seine,48.783 ,2.400 ,82400
46,93005,Aulnay-sous-Bois,48.950 ,2.517 ,82314
47,64445,Pau,43.300 ,-0.367 ,82157
48,94028,Creteil,48.783 ,2.467 ,82088
49,94017,Champigny-sur-Marne,48.817 ,2.517 ,79486
50,86194,Poitiers,46.583 ,0.333 ,78894
51,92025,Colombes,48.917 ,2.250 ,78513
52,94068,Saint-Maur-des-Fosses,48.800 ,2.500 ,77206
53,18033,Bourges,47.083 ,2.400 ,75609
54,62193,Calais,50.950 ,1.833 ,75309
55,17300,LaRochelle,46.167 ,-1.150 ,71094
56,34032,Beziers,43.350 ,3.250 ,70996
57,59183,Dunkerque,51.050 ,2.367 ,70331
58,6004,Antibes,43.583 ,7.117 ,70005
59,6029,Cannes,43.550 ,7.017 ,68676
60,93001,Aubervilliers,48.917 ,2.383 ,67557
61,92063,Rueil-Malmaison,48.883 ,2.200 ,66401
62,59009,Villeneuve-d'Ascq,50.683 ,3.142 ,65320
63,44184,Saint-Nazaire,47.283 ,-2.200 ,64812
64,68066,Colmar,48.083 ,7.367 ,63498
65,26362,Valence,44.933 ,4.900 ,63437
66,92051,Neuilly-sur-Seine,48.883 ,2.267 ,61768
67,93029,Drancy,48.933 ,2.450 ,60707
68,2691,Saint-Quentin,49.850 ,3.283 ,60644
69,69259,Venissieux,45.683 ,4.883 ,60444
70,83126,LaSeyne-sur-Mer,43.100 ,5.883 ,59968
71,29232,Quimper,48.000 ,-4.100 ,59437
72,56121,Lorient,47.750 ,-3.367 ,59271
73,10387,Troyes,48.300 ,4.083 ,59255
74,20004,Ajaccio,41.917 ,8.733 ,58949
75,92002,Antony,48.750 ,2.300 ,57771
76,33281,Merignac,44.833 ,-0.633 ,57273
77,79191,Niort,46.317 ,-0.467 ,57012
78,8105,Charleville-Mezieres,49.767 ,4.717 ,57008
79,95585,Sarcelles,49.000 ,2.383 ,56833
80,49099,Cholet,47.067 ,-0.883 ,55132
81,71076,Chalon-sur-Saone,46.783 ,4.850 ,54575
82,60057,Beauvais,49.433 ,2.083 ,54190
83,73065,Chambery,45.567 ,5.933 ,54120
84,93051,Noisy-le-Grand,48.850 ,2.567 ,54032
85,94041,Ivry-sur-Seine,48.817 ,2.383 ,53619
86,94046,Maisons-Alfort,48.800 ,2.433 ,53375
87,13004,Arles,43.667 ,4.633 ,52058
88,94033,Fontenay-sous-Bois,48.850 ,2.483 ,51868
89,82121,Montauban,44.017 ,1.350 ,51224
90,33318,Pessac,44.800 ,-0.617 ,51055
91,36044,Chateauroux,46.817 ,1.700 ,50969
92,53130,Laval,48.067 ,-0.767 ,50473
93,78586,Sartrouville,48.950 ,2.183 ,50329
94,90010,Belfort,47.633 ,6.867 ,50125
95,19031,Brive-la-Gaillarde,45.150 ,1.533 ,49765
96,74010,Annecy,45.900 ,6.117 ,49644
97,41018,Blois,47.583 ,1.333 ,49318
98,27229,Evreux,49.017 ,1.150 ,49103
99,93031,Epinay-sur-Seine,48.950 ,2.308 ,48762
100,93071,Sevran,48.933 ,2.533 ,48478
101,51108,Chalons-en-Champagne,48.958 ,4.367 ,48423
102,94076,Villejuif,48.800 ,2.367 ,48405
