,Coup_Droit,Revers,Service,Vole,Retour,Smash,Jeu_de_jambe,Lob,Amorti,Passing,Regularite,Touche,Psychisme,Physique,Jeu_en_double
ARIAS,8.0,5.0,3.0,2.0,6.0,3.0,6.0,5.0,2.0,6.0,6.0,3.0,4.0,3.0,0.0
BECKER,8.0,7.0,10.0,8.0,7.0,9.0,6.0,5.0,3.0,6.0,5.0,5.0,7.0,8.0,6.0
BORG,10.0,9.0,7.0,5.0,9.0,9.0,10.0,7.0,4.0,10.0,10.0,5.0,10.0,10.0,2.0
CARLSSON,6.0,5.0,2.0,2.0,6.0,2.0,6.0,4.0,2.0,6.0,6.0,2.0,4.0,5.0,0.0
CASH,5.0,4.0,6.0,7.0,5.0,7.0,6.0,3.0,3.0,4.0,4.0,3.0,7.0,6.0,7.0
CLERC,7.0,6.0,4.0,3.0,5.0,3.0,6.0,6.0,3.0,6.0,6.0,4.0,3.0,5.0,2.0
CONNORS,7.0,10.0,4.0,6.0,10.0,7.0,9.0,9.0,6.0,9.0,8.0,6.0,9.0,6.0,0.0
CURREN,4.0,4.0,8.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,7.0
EDBERG,5.0,8.0,8.0,8.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0,6.0,5.0,7.0,8.0
FORGET,7.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,8.0
GERULAITIS,6.0,5.0,6.0,10.0,4.0,6.0,8.0,4.0,10.0,5.0,5.0,10.0,4.0,5.0,5.0
GOMEZ,8.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,7.0
GOTTFRIED,6.0,5.0,6.0,9.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,5.0,8.0
HIGUERAS,7.0,6.0,4.0,2.0,6.0,3.0,6.0,5.0,2.0,7.0,8.0,3.0,5.0,5.0,0.0
JAITE,6.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,6.0,3.0,0.0
JARRYD,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,8.0
KRICKSTEIN,7.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0
KRIEK,5.0,5.0,5.0,6.0,5.0,6.0,9.0,4.0,3.0,4.0,1.0,6.0,2.0,6.0,4.0
LECONTE,7.0,6.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0
LENDL,9.0,8.0,7.0,5.0,8.0,6.0,8.0,8.0,4.0,8.0,9.0,5.0,7.0,8.0,3.0
MACENROE,7.0,8.0,10.0,10.0,8.0,9.0,9.0,7.0,10.0,8.0,7.0,10.0,8.0,6.0,9.0
MAYOTTE,5.0,4.0,7.0,8.0,4.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0
MECIR,7.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,9.0,8.0,4.0,7.0,3.0,5.0,3.0
NOAH,5.0,5.0,10.0,8.0,4.0,10.0,6.0,4.0,7.0,5.0,6.0,7.0,7.0,8.0,8.0
NYSTROEM,8.0,7.0,3.0,4.0,7.0,5.0,8.0,7.0,2.0,8.0,8.0,3.0,6.0,6.0,6.0
PECCI,4.0,4.0,6.0,7.0,4.0,6.0,5.0,4.0,6.0,4.0,2.0,6.0,4.0,6.0,6.0
PERNFORS,6.0,6.0,4.0,4.0,6.0,5.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,4.0,2.0
SANCHEZ,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,6.0,2.0,4.0,4.0,6.0
SOLOMON,8.0,6.0,2.0,1.0,7.0,3.0,8.0,7.0,3.0,7.0,8.0,4.0,7.0,6.0,0.0
TANNER,5.0,4.0,10.0,9.0,5.0,9.0,6.0,4.0,4.0,5.0,3.0,5.0,7.0,7.0,5.0
TELTSCHER,5.0,5.0,3.0,3.0,5.0,4.0,6.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,2.0
TULASNE,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,0.0
VILAS,8.0,7.0,4.0,3.0,7.0,5.0,8.0,8.0,5.0,8.0,8.0,4.0,7.0,8.0,0.0
WILANDER,7.0,8.0,4.0,5.0,7.0,5.0,8.0,9.0,5.0,8.0,7.0,5.0,6.0,7.0,6.0
ZIVOJINOVIC,4.0,4.0,6.0,6.0,3.0,7.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0
